,Sum rate,Cost,Number of RISs allocated,Bid value
RL beta 1.5,6.219734959479866,0.8323750000000001,4.355,0.7126270609461802
Greedy,5.983151234455758,0.6088750000000002,3.31,0.7683535791008925
Distance-based,5.611666476426883,0.5561249999999999,3.27,0.5628616811459705
Without RISs,2.347937835096493,0.0,0.0,0.0
