ue,bs,op,sinr_true_db,sinr_est_db,err_db,abs_err_db,sq_err_db2
0,0,0,28.203734979753925,28.653622589874974,0.44988761012104916,0.44988761012104916,0.20239886174042915
1,0,0,25.1643917011128,24.525589099418493,-0.6388026016943087,0.6388026016943087,0.4080687639314176
2,1,0,13.491024844099858,7.681663903976234,-5.809360940123624,5.809360940123624,33.74867453263404
3,1,0,31.365487962298438,32.0421238329445,0.6766358706460593,0.6766358706460593,0.45783610144495074
4,0,0,28.088517024764666,25.63010814874849,-2.4584088760161755,2.4584088760161755,6.043774201675116
5,0,0,22.736020016716324,18.128070152147593,-4.607949864568731,4.607949864568731,21.233201954378984
6,0,0,21.30393630019869,18.645319075660446,-2.6586172245382436,2.6586172245382436,7.068245546611434
7,0,0,29.589683529596606,28.7305079332876,-0.8591755963090044,0.8591755963090044,0.7381827052929333
8,1,0,18.674673414383733,13.60679857046621,-5.067874843917522,5.067874843917522,25.68335543361205
9,1,0,31.233000735762456,28.055294390086402,-3.1777063456760537,3.1777063456760537,10.09781761934986
10,1,0,24.933574723804178,20.870622346967554,-4.062952376836623,4.062952376836623,16.507582016442367
11,1,0,25.2505976644729,21.729452477286877,-3.521145187186022,3.521145187186022,12.398463429243286
12,1,0,19.670930118269,13.055267290392623,-6.615662827876376,6.615662827876376,43.76699465214524
13,0,0,22.148631231355278,18.19237604922092,-3.9562551821343597,3.9562551821343597,15.651955066164975
14,0,0,15.698381970726377,13.88463646621279,-1.8137455045135873,1.8137455045135873,3.2896727551432474
15,1,0,26.678653248363236,17.897523981982474,-8.781129266380763,8.781129266380763,77.10823119288875
16,0,0,11.175859403797027,10.375870694736287,-0.7999887090607398,0.7999887090607398,0.639981934624669
17,0,0,21.092795860760816,21.699269607142643,0.6064737463818268,0.6064737463818268,0.3678104050504084
18,0,0,24.363863226339856,20.015655162663485,-4.3482080636763705,4.3482080636763705,18.906913365020213
19,1,0,12.324699505434438,9.31767110636811,-3.0070283990663285,3.0070283990663285,9.042219792791407
