ue,bs,op,sinr_true_db,sinr_est_db,err_db,abs_err_db,sq_err_db2
0,0,0,33.50303715771298,24.684415626770686,-8.818621530942295,8.818621530942295,77.76808570599903
1,0,0,26.949457118126357,20.572771200288376,-6.376685917837982,6.376685917837982,40.66212329475322
2,1,0,10.9963820386102,6.251220660816194,-4.745161377794006,4.745161377794006,22.51655650130791
3,1,0,33.50846263840911,28.109953874824868,-5.398508763584239,5.398508763584239,29.14389687049583
4,0,0,23.703567936455897,21.882472880776355,-1.8210950556795424,1.8210950556795424,3.3163872018204756
5,0,0,20.19606697634107,14.721921905420231,-5.474145070920837,5.474145070920837,29.9662642574869
6,0,0,18.913015582038362,14.811010341021893,-4.102005241016469,4.102005241016469,16.82644699732658
7,0,0,28.648626148456536,24.772739831329133,-3.875886317127403,3.875886317127403,15.022494743295423
8,1,0,12.181780614406803,10.101626368333463,-2.0801542460733398,2.0801542460733398,4.327041687456944
9,1,0,26.350958386163462,24.141872090956436,-2.209086295207026,2.209086295207026,4.8800622596715035
10,1,0,19.650959921060682,17.18182899008425,-2.4691309309764335,2.4691309309764335,6.0966075543045495
11,1,0,21.757577496754003,17.812606014461828,-3.944971482292175,3.944971482292175,15.56279999609852
12,1,0,16.82045603909957,10.006136363768869,-6.814319675330703,6.814319675330703,46.43495263759913
13,0,0,21.398332929358823,14.416255370395248,-6.982077558963574,6.982077558963574,48.749407039382746
14,0,0,14.201566349596519,10.502479105353544,-3.6990872442429747,3.6990872442429747,13.683246440521085
15,1,0,19.504336580462237,14.027814882356918,-5.476521698105319,5.476521698105319,29.99228990981837
16,0,0,8.282091935558025,7.013122018555229,-1.2689699170027957,1.2689699170027957,1.6102846502580823
17,0,0,20.91903945088717,17.76823175985482,-3.150807691032348,3.150807691032348,9.927589105868597
18,0,0,21.395028454830786,16.18751355891314,-5.207514895917647,5.207514895917647,27.118211391204184
19,1,0,10.999364970580952,8.876680167879984,-2.1226848027009684,2.1226848027009684,4.505790771617649
