ue,bs,op,sinr_true_db,sinr_est_db,err_db,abs_err_db,sq_err_db2
0,0,0,20.659026673732406,11.859618777103965,-8.799407896628441,8.799407896628441,77.42957933124697
1,0,0,14.024875926155733,5.600643652301388,-8.424232273854345,8.424232273854345,70.96768940384915
2,1,0,9.065013919752856,4.983793193558611,-4.081220726194244,4.081220726194244,16.656362615917477
3,1,0,24.873082030710904,17.09275967479895,-7.780322355911956,7.780322355911956,60.533415961903366
4,0,0,19.06306167350913,12.516733767232536,-6.546327906276593,6.546327906276593,42.85440905649568
5,0,0,17.037973197355832,9.595537245731476,-7.442435951624356,7.442435951624356,55.38985289403073
6,0,0,10.582174345258043,4.363475280813286,-6.218699064444757,6.218699064444757,38.6722180541261
7,0,0,18.94087228823112,11.35572672709646,-7.585145561134659,7.585145561134659,57.534433183600825
8,1,0,7.938411641966386,2.7632064800651994,-5.175205161901187,5.175205161901187,26.782748467768688
9,1,0,16.548298798940763,10.193713548383727,-6.354585250557037,6.354585250557037,40.380753706597034
10,1,0,9.15727233152638,7.500740320607009,-1.6565320109193715,1.6565320109193715,2.744098303200577
11,1,0,15.763105756468141,7.014147047788343,-8.748958708679798,8.748958708679798,76.54427848618407
12,1,0,10.068382874616573,5.268865344652688,-4.799517529963885,4.799517529963885,23.035368520430634
13,0,0,11.569141444958053,4.991121881886081,-6.5780195630719716,6.5780195630719716,43.270341372157574
14,0,0,11.478968204307183,4.564240265158874,-6.9147279391483085,6.9147279391483085,47.81346247243821
15,1,0,10.171633580697053,4.061667042922218,-6.109966537774835,6.109966537774835,37.33169109272821
16,0,0,10.854918151349759,4.591776540204865,-6.263141611144894,6.263141611144894,39.226942841254655
17,0,0,15.97899431658063,8.010797425108464,-7.968196891472166,7.968196891472166,63.49216170126669
18,0,0,13.021761623737243,5.219174803336511,-7.802586820400732,7.802586820400732,60.8803610898912
19,1,0,11.202314438010749,8.567609348583288,-2.6347050894274613,2.6347050894274613,6.941670908254967
