ue,bs,op,sinr_true_db,sinr_est_db,err_db,abs_err_db,sq_err_db2
0,0,0,29.58769763634392,21.691051225041328,-7.896646411302591,7.896646411302591,62.35702454513808
1,0,0,23.648920442931676,17.606416491825293,-6.042503951106383,6.042503951106383,36.51185399913625
2,1,0,7.494169101138299,5.646255943385602,-1.8479131577526973,1.8479131577526973,3.414783038595545
3,1,0,31.674366643161193,25.17724701410842,-6.497119629052772,6.497119629052772,42.21256347422283
4,0,0,21.992794351669485,19.232915641370077,-2.7598787102994073,2.7598787102994073,7.61693049556392
5,0,0,17.598914955182277,12.525428714735105,-5.073486240447172,5.073486240447172,25.740262632006782
6,0,0,15.548536562602347,12.032251134191794,-3.516285428410553,3.516285428410553,12.364263214052388
7,0,0,24.929707095777232,21.798255452178307,-3.1314516435989255,3.1314516435989255,9.805989396198411
8,1,0,11.810977052671097,7.7821118784013095,-4.028865174269788,4.028865174269788,16.231754592443927
9,1,0,24.450834307325078,21.239355433856613,-3.211478873468465,3.211478873468465,10.313596554734282
10,1,0,16.833435162106422,14.61643663893404,-2.216998523172382,2.216998523172382,4.915082451748523
11,1,0,20.809063310295954,14.90460061574469,-5.904462694551265,5.904462694551265,34.86267971134759
12,1,0,13.614876929473814,8.206042474563452,-5.408834454910362,5.408834454910362,29.255490160625477
13,0,0,16.523672042753333,11.724940897145723,-4.79873114560761,4.79873114560761,23.02782060782452
14,0,0,16.05286243087947,8.334862481172326,-7.717999949707142,7.717999949707142,59.56752322367945
15,1,0,16.199384142607073,11.194392508316175,-5.0049916342908976,5.0049916342908976,25.04994125932187
16,0,0,9.791606989371038,4.868611478960118,-4.92299551041092,4.92299551041092,24.235884795526076
17,0,0,23.850410944289628,14.837357665591567,-9.013053278698061,9.013053278698061,81.23512940464987
18,0,0,18.65484951394922,13.418162191769907,-5.236687322179312,5.236687322179312,27.42289411027354
19,1,0,10.689067704296047,8.719137630418373,-1.9699300738776735,1.9699300738776735,3.8806244959676963
