ue,bs,op,sinr_true_db,sinr_est_db,err_db,abs_err_db,sq_err_db2
0,0,0,33.62110452570758,27.107517753073665,-6.513586772633914,6.513586772633914,42.42681264463149
1,0,0,26.53165133217093,22.984181027213303,-3.5474703049576277,3.5474703049576277,12.584545564556164
2,1,0,8.690737219286035,7.025071425079117,-1.6656657942069177,1.6656657942069177,2.774442537990962
3,1,0,33.43517148527789,30.506651048508516,-2.928520436769375,2.928520436769375,8.576231948575892
4,0,0,27.301843374582337,24.14857869442869,-3.1532646801536472,3.1532646801536472,9.943078143104483
5,0,0,23.561903543026222,16.750700809338465,-6.811202733687757,6.811202733687757,46.39248267939558
6,0,0,20.19941471583779,17.138251119092825,-3.061163596744965,3.061163596744965,9.370722566036571
7,0,0,28.42512933480213,27.187679902997118,-1.237449431805011,1.237449431805011,1.531281096274545
8,1,0,19.581487464726234,12.198637840572285,-7.382849624153948,7.382849624153948,54.5064685728701
9,1,0,28.75990566731746,26.52522808689016,-2.2346775804273022,2.2346775804273022,4.993783888464422
10,1,0,22.739484665140786,19.406636307921424,-3.332848357219362,3.332848357219362,11.107878172219799
11,1,0,21.552709750931317,20.198397468111597,-1.3543122828197198,1.3543122828197198,1.8341617593963608
12,1,0,16.36100689772431,11.792974806345175,-4.568032091379134,4.568032091379134,20.866917187869625
13,0,0,22.598279862502388,16.70241363571486,-5.895866226787529,5.895866226787529,34.761238564173816
14,0,0,17.305014488355056,12.514800016358986,-4.7902144719960695,4.7902144719960695,22.946154687720583
15,1,0,19.151779434802098,16.380128384484316,-2.7716510503177822,2.7716510503177822,7.682049544727666
16,0,0,13.115841049533572,9.012149280987003,-4.103691768546568,4.103691768546568,16.84028613123686
17,0,0,25.595225383221283,20.164122831668546,-5.431102551552737,5.431102551552737,29.49687492548265
18,0,0,23.30145694809849,18.510392497098426,-4.791064451000064,4.791064451000064,22.95429857363655
19,1,0,11.93055109168361,9.102770617166003,-2.8277804745176063,2.8277804745176063,7.996342412063019
