ue,bs,op,sinr_true_db,sinr_est_db,err_db,abs_err_db,sq_err_db2
0,0,0,36.998220200260285,26.439668324686497,-10.558551875573787,10.558551875573787,111.48301770918275
1,0,0,27.674343957996467,22.31893600023649,-5.355407957759976,5.355407957759976,28.680394394038874
2,1,0,10.378913355662734,6.782126155441025,-3.5967872002217085,3.5967872002217085,12.936878163678717
3,1,0,31.610825712336023,29.844690941919183,-1.7661347704168406,1.7661347704168406,3.119232027275346
4,0,0,26.30618327352878,23.516157034527055,-2.790026239001726,2.790026239001726,7.784246414318117
5,0,0,21.06867164071323,16.17374192584697,-4.894929714866262,4.894929714866262,23.960336913480702
6,0,0,19.496526073281068,16.491915768965015,-3.004610304316053,3.004610304316053,9.027683080802204
7,0,0,24.769130120814662,26.521647957212465,1.7525178363978036,1.7525178363978036,3.0713187668924387
8,1,0,17.914097651568802,11.60549479358448,-6.308602857984322,6.308602857984322,39.79847001976796
9,1,0,29.584348361321382,25.86625416812786,-3.7180941931935223,3.7180941931935223,13.82422442945939
10,1,0,20.723606652327536,18.783699636096138,-1.9399070162313983,1.9399070162313983,3.7632392316238064
11,1,0,23.745321647625595,19.5388778836595,-4.206443763966096,4.206443763966096,17.694169139409254
12,1,0,16.986059316383738,11.274982613944857,-5.711076702438881,5.711076702438881,32.61639710114016
13,0,0,22.11306853477362,16.065411563517607,-6.047656971256014,6.047656971256014,36.57415484198147
14,0,0,16.91293692854675,11.941773917096896,-4.971163011449853,4.971163011449853,24.712461686407174
15,1,0,24.949203001172506,15.728130383407219,-9.221072617765287,9.221072617765287,85.02818022210077
16,0,0,14.240914111333915,8.442308105581255,-5.79860600575266,5.79860600575266,33.62383160995082
17,0,0,27.595665363232264,19.50234295473836,-8.093322408493904,8.093322408493904,65.50186760782957
18,0,0,22.32544109149922,17.86504485059195,-4.460396240907269,4.460396240907269,19.895134625899694
19,1,0,10.385225714683521,9.028707261407515,-1.3565184532760064,1.3565184532760064,1.8401423140783288
