ue,bs,op,sinr_true_db,sinr_est_db,err_db,abs_err_db,sq_err_db2
0,0,0,24.685228595976902,15.6385379323726,-9.046690663604302,9.046690663604302,81.84261196294524
1,0,0,15.038432786572127,8.6648722920326,-6.373560494539527,6.373560494539527,40.62227337755494
2,1,0,8.416903610778036,5.559194956596739,-2.8577086541812964,2.8577086541812964,8.166498752182676
3,1,0,25.511370126233786,19.579078395153054,-5.932291731080731,5.932291731080731,35.19208518264882
4,0,0,17.094110395275194,13.909837918851238,-3.1842724764239563,3.1842724764239563,10.139591204111156
5,0,0,17.32345604943067,11.320847200859202,-6.0026088485714695,6.0026088485714695,36.0313129889485
6,0,0,12.169794929445004,6.3758724224401835,-5.793922507004821,5.793922507004821,33.569538017177024
7,0,0,20.52660235104927,14.833284733396289,-5.693317617652982,5.693317617652982,32.41386549547782
8,1,0,7.702158448463691,4.215371509358475,-3.486786939105216,3.486786939105216,12.157683158714722
9,1,0,17.38139703893056,11.618338036267994,-5.763059002662567,5.763059002662567,33.212849068170065
10,1,0,9.919903417117883,7.765001814349658,-2.1549016027682253,2.1549016027682253,4.643600917613067
11,1,0,15.651056624131616,10.398587177206675,-5.252469446924941,5.252469446924941,27.588435290879996
12,1,0,10.66636114948459,5.677285734823368,-4.989075414661222,4.989075414661222,24.890873493177047
13,0,0,13.026119861161803,6.748067437855248,-6.278052423306555,6.278052423306555,39.413942229785306
14,0,0,12.085273158711303,5.491716773138538,-6.593556385572764,6.593556385572764,43.47498580972738
15,1,0,11.570889236108231,6.376101486449755,-5.194787749658476,5.194787749658476,26.985819764001768
16,0,0,14.500165076887539,7.403072494053515,-7.097092582834024,7.097092582834024,50.368723129317715
17,0,0,20.512913754731876,11.50302571851469,-9.009888036217186,9.009888036217186,81.17808242516958
18,0,0,12.276612737948543,6.778375563799158,-5.498237174149385,5.498237174149385,30.230612023198216
19,1,0,11.072322725575358,8.71397573158723,-2.3583469939881283,2.3583469939881283,5.561800544052841
