ue,bs,op,sinr_true_db,sinr_est_db,err_db,abs_err_db,sq_err_db2
0,0,0,16.402980540398282,9.300942455427881,-7.102038084970401,7.102038084970401,50.43894496037004
1,0,0,9.265712057651212,3.834575052436477,-5.431137005214735,5.431137005214735,29.49724916941288
2,1,0,9.372760648366672,4.9692333792235495,-4.403527269143122,4.403527269143122,19.391052410087084
3,1,0,20.568088120331353,14.156349911513344,-6.41173820881801,6.41173820881801,41.11038685841678
4,0,0,14.965073953084584,12.127237688097225,-2.8378362649873594,2.8378362649873594,8.053314666877407
5,0,0,16.09608290674634,8.612159858251726,-7.4839230484946135,7.4839230484946135,56.00910419578891
6,0,0,7.95470689639029,3.748441243939072,-4.206265652451218,4.206265652451218,17.692670738990866
7,0,0,17.99991828732573,9.965551729895871,-8.034366557429859,8.034366557429859,64.55104597914732
8,1,0,1.8419275542938878,2.471207534306996,0.6292799800131084,0.6292799800131084,0.3959932932452981
9,1,0,13.836416289422228,9.574141452747659,-4.262274836674569,4.262274836674569,18.166986783349227
10,1,0,12.041786618875062,7.493592364141637,-4.548194254733424,4.548194254733424,20.686070978790127
11,1,0,12.150721142342304,5.4751091806261565,-6.675611961716148,6.675611961716148,44.56379506340771
12,1,0,11.746151213018155,5.195445678164374,-6.5507055348537815,6.5507055348537815,42.91174300436397
13,0,0,13.329836111330625,4.462110450340175,-8.86772566099045,8.86772566099045,78.63655839858852
14,0,0,7.463108866685585,4.010734441548981,-3.452374425136604,3.452374425136604,11.918889171337296
15,1,0,10.162360372102302,3.1098665837243757,-7.052493788377927,7.052493788377927,49.73766863510924
16,0,0,7.370788678744992,0.8045532406459823,-6.566235438099009,6.566235438099009,43.11544782854729
17,0,0,8.297543462313579,3.618581740789537,-4.6789617215240416,4.6789617215240416,21.89268279148722
18,0,0,10.40630412816897,4.7400179798841044,-5.666286148284865,5.666286148284865,32.10679871424493
19,1,0,10.41344686181043,8.560422964150632,-1.8530238976597975,1.8530238976597975,3.4336975652983077
