,Sum rate,Cost,Number of RISs allocated,Bid value
RL beta 1.0,6.209097481976381,0.8548749999999998,4.3575,0.6871472912479619
Greedy,5.983151234455758,0.6088750000000002,3.31,0.7683535791008925
Distance-based,5.611666476426883,0.5561249999999999,3.27,0.5628616811459705
Without RISs,2.347937835096493,0.0,0.0,0.0
